iteration val_accuracy val_loss train_loss train_accuracy deleted
300 0.10140000004321337 4.4018653392791744 4.469405174255371 0.12109375 1
600 0.20240000002086161 4.148347437381744 4.204156398773193 0.171875 1
900 0.2556999996304512 4.009924310445785 4.01412296295166 0.23828125 1
1200 0.3143000014126301 3.8131330847740172 3.940845251083374 0.23828125 1
1500 0.3681000001728535 3.691354215145111 3.820237398147583 0.3046875 1
1800 0.3941000021994114 3.5658241748809814 3.5796289443969727 0.3828125 1
2100 0.40659999921917916 3.53950092792511 3.399414539337158 0.4453125 1
2400 0.42299999967217444 3.4508200347423554 3.5306143760681152 0.3984375 1
2700 0.4368000000715256 3.416509371995926 3.6717464923858643 0.34375 1
3000 0.4473999999463558 3.4052477359771727 3.5467820167541504 0.41015625 1
3300 0.4548999987542629 3.3552895843982697 3.4867453575134277 0.4296875 1
3600 0.47100000008940696 3.3243700206279754 3.4943251609802246 0.43359375 1
3900 0.47560000121593476 3.284799337387085 3.4436676502227783 0.42578125 1
4200 0.48739999905228615 3.2525046348571776 3.1860499382019043 0.484375 1
4500 0.49989999905228616 3.1982658445835113 3.397976875305176 0.42578125 1
4800 0.495600002259016 3.211239892244339 3.352696418762207 0.453125 1
5100 0.49290000423789027 3.200370115041733 3.2554125785827637 0.4609375 1
5400 0.5028000004589558 3.168617659807205 3.3665788173675537 0.46484375 1
5700 0.5011000014841557 3.15248943567276 3.0831613540649414 0.51171875 1
6000 0.5147000029683113 3.1168184161186216 3.0134987831115723 0.53125 1
6300 0.5175000056624413 3.1121008813381197 3.1325039863586426 0.55859375 1
6600 0.5339000001549721 3.0475123941898348 2.9560604095458984 0.546875 1
6900 0.5375000014901161 3.0367481291294096 3.243281602859497 0.51953125 1
7200 0.5748000040650367 2.878760725259781 2.6599183082580566 0.63671875 1
7500 0.5816000014543533 2.8475055634975432 3.003877639770508 0.54296875 1
7800 0.582200001180172 2.8409099161624907 2.9410862922668457 0.55859375 1
8100 0.582700002193451 2.8283199191093447 2.7839527130126953 0.609375 1
8400 0.5863999962806702 2.8169633865356447 2.907485008239746 0.56640625 1
8700 0.5821999996900559 2.826012986898422 2.8049232959747314 0.6015625 1
9000 0.5849999994039535 2.8052799999713898 2.753485679626465 0.60546875 1
9300 0.5900000035762787 2.792636674642563 2.6242289543151855 0.59375 1
9600 0.5891000017523765 2.793705701828003 2.636817455291748 0.6328125 1
9900 0.5958000048995018 2.785830044746399 2.8230769634246826 0.6171875 1
10200 0.5957000002264976 2.778819763660431 2.8649888038635254 0.53515625 1
10500 0.5952999979257584 2.7814087569713593 2.7639691829681396 0.59765625 1
10800 0.599200002849102 2.7657902598381043 2.7727415561676025 0.5703125 1
11100 0.5950000032782554 2.7701167821884156 2.8608219623565674 0.53515625 1
11400 0.5977000027894974 2.764374005794525 2.806473970413208 0.6015625 1
11700 0.5983000040054322 2.765535682439804 2.487834930419922 0.734375 1
12000 0.5999000012874603 2.7482892274856567 2.6015186309814453 0.62890625 1
12300 0.6008000001311302 2.7451645612716673 2.6802706718444824 0.62890625 1
12600 0.603600001335144 2.7456482470035555 2.7464096546173096 0.62109375 1
12900 0.6030000030994416 2.7432390093803405 2.737647533416748 0.62109375 1
13200 0.6064000025391578 2.732564300298691 2.818892478942871 0.60546875 1
13500 0.6055999994277954 2.729740834236145 2.659951686859131 0.59765625 1
13800 0.6052999958395958 2.7280415534973144 2.8652420043945312 0.55859375 1
14100 0.610800002515316 2.7081837117671967 2.5009806156158447 0.6484375 1
14400 0.612899997830391 2.702193385362625 2.5704894065856934 0.63671875 1
14700 0.6141000017523766 2.698710584640503 2.618436336517334 0.64453125 1
15000 0.6134000018239021 2.6996912002563476 2.575230121612549 0.640625 1
15300 0.6112000033259392 2.6997513294219972 2.6360960006713867 0.640625 1
15600 0.6116999998688698 2.697930246591568 2.557798385620117 0.64453125 1
15900 0.612600003182888 2.6978582739830017 2.693744659423828 0.61328125 1
16200 0.6124000027775764 2.6970445215702057 2.5814850330352783 0.5859375 1
16500 0.6114000022411347 2.6984823644161224 2.760469675064087 0.60546875 1
16800 0.6118000030517579 2.6995161175727844 2.6080684661865234 0.625 1
17100 0.6104000002145767 2.6972315549850463 2.4244205951690674 0.703125 1
17400 0.6131000027060509 2.6980906426906586 2.4409995079040527 0.6640625 1
17700 0.6131000027060509 2.6983261108398438 2.5618250370025635 0.66796875 1
18000 0.6135999992489815 2.695517420768738 2.597607135772705 0.66796875 1
18300 0.6129000037908554 2.693857204914093 2.4658331871032715 0.6640625 1
18600 0.6131000027060509 2.691973531246185 2.7233662605285645 0.60546875 1
18900 0.6141000002622604 2.6931953191757203 2.6475820541381836 0.6171875 1
19200 0.6145000040531159 2.692626804113388 2.807788372039795 0.59375 1
19500 0.6141000002622604 2.691440147161484 2.5479769706726074 0.64453125 1
19800 0.6131000012159348 2.691154581308365 2.6423845291137695 0.6484375 1
20100 0.613500003516674 2.6897599935531615 2.597548007965088 0.58984375 1
20400 0.6148999989032745 2.693102687597275 2.361067295074463 0.7109375 1
20700 0.6145000040531159 2.691309303045273 2.549774169921875 0.63671875 1
21000 0.6128000006079674 2.6903456449508667 2.561898946762085 0.6484375 1
21300 0.6155000030994415 2.6888329684734344 2.5067150592803955 0.65625 1
21600 0.6154000014066696 2.688442361354828 2.661573648452759 0.6015625 1
21900 0.6150000050663949 2.6879409551620483 2.5789804458618164 0.625 1
22200 0.6151000052690506 2.6880087316036225 2.570587158203125 0.625 1
22500 0.6149000033736229 2.687741684913635 2.4460253715515137 0.66796875 1
22800 0.6151000022888183 2.6874660909175874 2.5871763229370117 0.625 1
23100 0.6147000044584274 2.687406265735626 2.7442307472229004 0.5859375 1
23400 0.6146000057458878 2.687098878622055 2.452569007873535 0.67578125 1
23700 0.6151000037789345 2.6871394872665406 2.6642239093780518 0.58203125 1
24000 0.6148000046610832 2.6868831276893617 2.56111478805542 0.640625 1
